PrisonerID,PrisonerName,PrisonerType,PrisonerHP,PrisonerATK,PrisonerSpd,Info,,
PSN_Skinny_01,신경질적 멸치,Skinny,30,10,1,애니메이션 분리,,
PSN_Skinny_02,신경질적 멸치,Skinny,30,10,1,애니메이션 분리,,
PSN_Skinny_03,신경질적 멸치,Skinny,30,10,1,애니메이션 분리,,
PSN_Muscular_01,근육질의 거구,Muscular,60,20,1,애니메이션 분리,,
PSN_Muscular_02,근육질의 거구,Muscular,60,20,1,애니메이션 분리,,
PSN_Muscular_03,근육질의 거구,Muscular,60,20,1,애니메이션 분리,,
PSN_Gang_01,문신한 갱단원,Gang,50,15,1,애니메이션 분리,,
PSN_Gang_02,문신한 갱단원,Gang,50,15,1,애니메이션 분리,,
PSN_Gang_03,문신한 갱단원,Gang,50,15,1,애니메이션 분리,,
PSN_Elite_01,인텔리 사기꾼,Elite,40,15,1,애니메이션 분리,,
PSN_Elite_02,인텔리 사기꾼,Elite,40,15,1,애니메이션 분리,,
PSN_Elite_03,인텔리 사기꾼,Elite,40,15,1,애니메이션 분리,,
PSN_Goat_01,염소,Goat,30,0,1,이벤트 개체,,
PSN_Bikini_01,근육비키니,Bikini,60,0,1,이벤트 개체,,
