UIText,Text,Info
Utxt_KR_Intro_01,근무 중 이상 무,게임 타이틀
Utxt_KR_Intro_02,출근하기,게임 시작 버튼
Utxt_KR_Intro_03,환경 설정,환경 설정 버튼
Utxt_KR_Intro_04,크레디트,크레디트 버튼
Utxt_KR_Intro_05,퇴근하기,게임 종료 버튼
Utxt_KR_Intro_06,신규 근무 시작,새로하기 버튼
Utxt_KR_Intro_07,기존 근무 계속,이어하기 버튼
Utxt_KR_Intro_08,타이틀로 이동,타이틀 이동 버튼
Utxt_KR_Intro_09,게임을 종료하시겠습니까?,게임 종료 문구
Utxt_KR_Intro_10,예,프로그램 종료 버튼
Utxt_KR_Intro_11,아니오,타이틀 이동 버튼
Utxt_KR_Intro_12,Master,마스터 볼륨 텍스트
Utxt_KR_Intro_13,BGM,BGM 볼륨 텍스트
Utxt_KR_Intro_14,SFX,SFX 볼륨 텍스트
Utxt_KR_Intro_15,UI,UI 볼륨 텍스트
Utxt_KR_Intro_16,한국어,언어 설정 한국어
Utxt_KR_Intro_17,English,언어 설정 영어
Utxt_KR_Dialogue_01,E 키를 눌러 다음 텍스트 확인,다이얼로그 버튼 안내 E
Utxt_KR_Dialogue_02,Q 키를 눌러 텍스트 종료,다이얼로그 버튼 안내 Q
Utxt_KR_WhiteBoard_01,Days Since Last Accident,무사고 날짜
Utxt_KR_WhiteBoard_02,Today's Mission,오늘의 미션
Utxt_KR_M00_01,오늘의 미션,오늘의 미션 최상단 텍스트
Utxt_KR_M00_02,THE OFFICIAL LOG,성공 UI 최상단 텍스트
Utxt_KR_M00_03,근무자 명: Etan Walker,근무자 명
Utxt_KR_M00_04,무사고 날짜: ,무사고 날짜
Utxt_KR_M00_05,미션 결과: 성공,미션 결과
Utxt_KR_M00_06,내일 다시 뵙겠습니다.,계약 연장 도장 상단
Utxt_KR_M00_07,교도소장 백,계약 연장 도장 하단
Utxt_KR_M00_08,다음 날로 이동,다음 날 이동 버튼
Utxt_KR_M00_09,타이틀로 이동,타이틀 이동 버튼
Utxt_KR_M00_10,NOTICE OF TERMINATION,실패 UI 최상단 텍스트
Utxt_KR_M00_11,근무자 명: Etan Walker,근무자 명
Utxt_KR_M00_12,근무일 수: ,근무일 수
Utxt_KR_M00_13,해고 사유,해고 사유 텍스트
Utxt_KR_M00_14,상기 사유로 귀하를 해고합니다.,귀하를 해고합니다.
Utxt_KR_M00_15,해고를 통지합니다,해고 통지 도장 상단
Utxt_KR_M00_16,교도소장 백,해고 통지 도장 하단
Utxt_KR_M00_17,근무 재시작,근무 재시작 버튼
Utxt_KR_M00_18,타이틀로 이동,타이틀 이동 버튼
Utxt_KR_Pause_01,업무 일시 중단,일시 정지 창 문구
Utxt_KR_Pause_02,업무 재개,계속하기 버튼
Utxt_KR_Pause_03,업무 중단,타이틀 이동 버튼
Utxt_KR_Pause_04,환경 설정,환경 설정 버튼
Utxt_KR_Inspection_01,마우스 오른쪽 버튼을 누른 채로 이동하면 물체를 회전시킬 수 있습니다,상세보기 상단 안내 문구(클릭 x)
Utxt_KR_Inspection_02,마우스 오른쪽 버튼을 뗄 경우 회전을 멈춥니다.,상세보기 상단 안내 문구(클릭 o)
Utxt_KR_Inspection_03,마우스 왼쪽 버튼을 눌러 물체와 상호작용할 수 있습니다.,물체 아래 상호작용 안내 문구
Utxt_KR_Inspection_04,E 키를 눌러 상세보기 종료,상세보기 종료 문구
Utxt_KR_GameOver_01,게임 오버,게임 오버 문구
Utxt_KR_GameOver_02,근무 재시작,게임 재시작 버튼
Utxt_KR_GameOver_03,타이틀로 이동,타이틀 이동 버튼
