MissionTextID,MissionNo,Text,Info,
Mtxt_KR_M01_01,1,교도소에서 시끄럽게 구는 죄수들을 전부 진압하라!,오늘의 미션 타이틀 01,
Mtxt_KR_M01_02,1,"멍청한 죄수들이 교도소를 시끄럽게 만들고 있다.
이대로 방치하면 시끄러운 틈을 타 수상한 짓을 하는 놈들이 생길 게 분명하다.
시끄러운 죄수들을 전부 진압하고 오자.",오늘의 미션 상세 내용 01,
Mtxt_KR_M01_03,1,시끄러운 죄수 6명 진압,오늘의 미션 완료 조건 01,
Mtxt_KR_M01_04,1,시끄러운 죄수 ,미션 진행도 텍스트 01,
Mtxt_KR_M01_05,1,교도소에서 시끄럽게 구는 죄수들을 전부 진압하라!,오늘의 미션 타이틀 01,
Mtxt_KR_M01_06,1,시끄러운 죄수들을 조용히 시키지 못함,해고 사유 상세 내용 01,
Mtxt_KR_M02_01,2,죄수들이 감방에 숨겨 놓은 무기를 전부 압수하라!,오늘의 미션 타이틀 02,
Mtxt_KR_M02_02,2,"죄수들이 감방 안에 무기를 숨겨 놨다는 신고가 들어왔다.
무기를 압수하지 않으면 사고가 일어날 것이 분명하다.
죄수들이 숨겨놓은 무기를 전부 압수하자.",오늘의 미션 상세 내용 02,
Mtxt_KR_M02_03,2,죄수들이 감방에 숨겨놓은 무기 7개 압수,오늘의 미션 완료 조건 02,
Mtxt_KR_M02_04,2,압수한 무기,미션 진행도 텍스트 02,
Mtxt_KR_M02_05,2,죄수들이 감방에 숨겨 놓은 무기를 전부 압수하라!,오늘의 미션 타이틀 02,
Mtxt_KR_M02_06,2,죄수들이 숨겨둔 무기를 전부 압수하지 못해 사고가 발생함,해고 사유 상세 내용 02,
Mtxt_KR_M03_01,3,이상한 행동을 하는 죄수들을 전부 진압하라!,오늘의 미션 타이틀 03,
Mtxt_KR_M03_02,3,"교도소에 새로 들어온 죄수들이 이상한 짓을 하고 있다.
모든 감방을 확인하고, 수상한 짓거리를 하는 놈들을 전부 진압하자.",오늘의 미션 상세 내용 03,
Mtxt_KR_M03_03,3,이상한 행동을 하는 죄수 6명 전부 진압,오늘의 미션 완료 조건 03,
Mtxt_KR_M03_04,3,진압한 이상 행동 죄수,미션 진행도 텍스트 03,
Mtxt_KR_M03_05,3,이상한 행동을 하는 죄수들을 전부 진압하라!,오늘의 미션 타이틀 03,
Mtxt_KR_M03_06,3,이상한 짓을 하는 죄수를 방치한 탓에 이제는 죄다 이상한 짓을 하고 있음,해고 사유 상세 내용 03,
Mtxt_KR_M04_01,4,'프랭크'를 찾아라!,오늘의 미션 타이틀 04,
Mtxt_KR_M04_02,4,"교도소로 순찰하러 내려간 선임 교도관, 프랭크가 돌아오지 않고 있다.
교도소로 내려가서 프랭크를 찾아보자.",오늘의 미션 상세 내용 04,
Mtxt_KR_M04_03,4,가짜 프랭크 진압하기,오늘의 미션 완료 조건 04,
Mtxt_KR_M04_04,4,가짜 프랭크 진압,미션 진행도 텍스트 04,
Mtxt_KR_M04_05,4,'프랭크'를 찾아라!,오늘의 미션 타이틀 04,
Mtxt_KR_M04_06,4,죄수의 변장도 못 알아차리고 선임 교도관을 공격함,해고 사유 상세 내용 04,
Mtxt_KR_M05_01,5,금지 물품을 압수하라!,오늘의 미션 타이틀 05,
Mtxt_KR_M05_02,5,"죄수들은 어떻게든 교도소 안에 금지 물품을 반입해온다.
금지 물품의 반입을 막을 수는 없지만, 방치할 수도 없다.
죄수들이 반입한 금지 물품을 전부 압수하자!",오늘의 미션 상세 내용 05,
Mtxt_KR_M05_03,5,금지 물품 7종 압수,오늘의 미션 완료 조건 05,
Mtxt_KR_M05_04,5,압수한 금지 물품,미션 진행도 텍스트 05,
Mtxt_KR_M05_05,5,금지 물품을 압수하라!,오늘의 미션 타이틀 05,
Mtxt_KR_M05_06,5,죄수들이 반입한 금지 물품을 방치해 교도소 분위기를 저해함,해고 사유 상세 내용 05,
Mtxt_KR_M06_01,6,총기를 밀반입한 범인을 찾아라!,오늘의 미션 타이틀 06,
Mtxt_KR_M06_02,6,"갱단원 중 한 명이 총기를 밀반입했다.
증거 물품을 잘 관찰하고, 3명의 용의자와 대화를 한 다음
누가 총기를 밀반입한 범인인지 찾아내 프랭크에게 알려주자",오늘의 미션 상세 내용 06,
Mtxt_KR_M06_03,6,총기를 밀반입한 갱단원이 누구인지 특정하기,오늘의 미션 완료 조건 06,
Mtxt_KR_M06_04,6,범인 결정,미션 진행도 텍스트 06,
Mtxt_KR_M06_05,6,총기를 밀반입한 범인을 찾아라!,오늘의 미션 타이틀 06,
Mtxt_KR_M06_06,6,잘못된 범인을 골라 교도소 안에 총기가 여럿 늘어남,해고 사유 상세 내용 06,
Mtxt_KR_M07_01,7,예고된 단체 폭동을 진압하라!,오늘의 미션 타이틀 07,
Mtxt_KR_M07_02,7,"죄수들이 단체 폭동을 계획하고 있다는 첩보가 들어왔다.
죄수들이 폭동을 일으키기 전에 사전에 진압하자.
모든 죄수를 전부 두들겨 패자.",오늘의 미션 상세 내용 07,
Mtxt_KR_M07_03,7,모든 죄수를 진압,오늘의 미션 완료 조건 07,
Mtxt_KR_M07_04,7,죄수 진압,미션 진행도 텍스트 07,
Mtxt_KR_M07_05,7,예고된 단체 폭동을 진압하라!,오늘의 미션 타이틀 07,
Mtxt_KR_M07_06,7,이미 예고된 단체 폭동조차 진압하지 못해 교도소에 혼란을 빚음,해고 사유 상세 내용 07,
